case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
10759,95.000041,8.0,0.0,0.0,0.0,0.0,2.0
98688,122.664788,10.0,1.0,5.0,5.0,5.0,1.0
16048,87.83265000000002,8.0,5.0,4.8,5.0,4.0,2.0
15188,84.37906799999999,8.0,4.0,5.0,5.0,5.0,1.0
30425,106.459807,10.0,6.0,3.8333333333333335,4.0,3.0,2.0
18237,41.615314999999995,4.0,1.0,4.0,4.0,4.0,1.0
71037,118.147824,11.0,14.0,5.285714285714286,5.0,3.0,2.0
66810,70.984952,9.0,6.0,4.166666666666667,5.0,3.0,2.0
16813,91.262366,9.0,4.0,4.75,5.0,4.0,1.0
44716,69.18588700000001,10.0,4.0,5.25,5.0,5.0,1.0
7329,84.719903,7.0,4.0,5.5,6.0,5.0,2.0
60529,114.124025,10.0,21.0,6.142857142857143,7.0,5.0,3.0
16026,76.421285,7.0,6.0,5.333333333333333,5.0,5.0,2.0
35526,91.43999,8.0,2.0,5.0,5.0,5.0,1.0
63434,78.379045,10.0,4.0,5.5,5.0,5.0,2.0
95862,95.539411,10.0,9.0,5.555555555555555,5.0,5.0,1.0
21655,127.503746,7.0,9.0,3.6666666666666665,3.0,3.0,3.0
100712,107.314422,12.0,8.0,5.0,5.0,4.0,2.0
108099,95.58260899999999,12.0,3.0,5.0,5.0,5.0,1.0
18546,108.43606600000001,8.0,3.0,4.0,3.0,3.0,2.0
37796,106.362546,8.0,3.0,5.0,5.0,5.0,1.0
10872,66.766564,9.0,3.0,5.333333333333333,5.0,5.0,1.0
33695,90.02926499999998,11.0,8.0,5.25,5.0,5.0,2.0
108911,124.96314500000001,12.0,4.0,4.75,5.0,4.0,1.0
66696,88.11486300000001,8.0,2.0,3.5,4.0,3.0,1.0
23978,48.71582699999998,5.0,4.0,5.0,5.0,4.0,2.0
55897,109.604439,13.0,12.0,5.166666666666667,5.0,5.0,2.0
148793,104.68510099999999,9.0,4.0,3.5,3.0,3.0,2.0
10691,103.61144800000001,13.0,22.0,6.0,7.0,3.0,2.0
108048,68.369986,8.0,4.0,5.0,5.0,4.0,2.0
61457,58.967327,6.0,2.0,5.0,5.0,5.0,1.0
71484,78.479377,8.0,3.0,3.6666666666666665,4.0,3.0,1.0
16005,103.072822,9.0,18.0,5.0,5.0,4.0,3.0
96832,96.28418700000002,10.0,11.0,5.7272727272727275,7.0,3.0,1.0
60478,59.47416400000001,6.0,2.0,5.0,5.0,5.0,2.0
135434,79.652974,8.0,4.0,5.25,5.0,5.0,1.0
22638,117.089796,11.0,1.0,4.0,4.0,4.0,1.0
106722,80.41856100000001,9.0,4.0,5.25,5.0,5.0,1.0
99588,85.435441,10.0,13.0,5.384615384615385,6.0,4.0,2.0
48406,59.769364,7.0,4.0,4.75,5.0,4.0,1.0
9025,76.49547899999999,7.0,8.0,4.75,4.0,3.0,2.0
96793,84.84678,8.0,9.0,5.666666666666667,6.0,3.0,1.0
139679,108.176887,8.0,6.0,5.333333333333333,5.0,5.0,2.0
139355,88.00123099999999,7.0,3.0,5.333333333333333,5.0,5.0,1.0
159950,90.61604899999999,9.0,2.0,5.0,5.0,5.0,1.0
52752,85.14339199999999,10.0,3.0,5.0,5.0,5.0,1.0
100359,113.986828,11.0,12.0,5.25,5.0,3.0,2.0
36307,100.384552,10.0,4.0,6.5,5.0,5.0,1.0
24020,93.672255,7.0,10.0,4.8,5.0,3.0,2.0
108222,83.93161400000001,10.0,4.0,5.5,6.0,4.0,1.0
24722,75.78980499999999,7.0,10.0,4.8,5.0,3.0,2.0
100489,109.92559399999999,8.0,1.0,5.0,5.0,5.0,1.0
95462,92.42569,15.0,4.0,5.0,5.0,5.0,1.0
34116,77.919618,8.0,8.0,5.25,6.0,3.0,2.0
109329,75.557456,9.0,8.0,5.0,5.0,5.0,2.0
66639,91.536715,10.0,3.0,3.6666666666666665,3.0,3.0,3.0
56975,117.435877,10.0,26.0,6.538461538461538,7.0,3.0,4.0
59102,27.129067000000003,4.0,1.0,3.0,3.0,3.0,1.0
60553,41.503588,4.0,3.0,4.333333333333333,5.0,3.0,1.0
23839,152.063766,11.0,10.0,4.5,5.0,3.0,3.0
106430,104.806557,13.0,10.0,5.9,6.0,5.0,2.0
34934,67.722732,6.0,4.0,3.75,4.0,3.0,1.0
70507,104.56293600000001,12.0,1.0,5.0,5.0,5.0,1.0
22997,90.34720999999999,7.0,4.0,5.0,5.0,5.0,2.0
26432,113.662023,9.0,6.0,5.333333333333333,6.0,4.0,2.0
108101,75.35374800000001,12.0,2.0,5.0,5.0,5.0,3.0
8863,89.959964,8.0,26.0,5.6923076923076925,6.0,3.0,3.0
69349,122.002521,11.0,4.0,4.5,5.0,4.0,2.0
103450,118.84648899999999,11.0,3.0,5.333333333333333,6.0,4.0,1.0
45360,121.79561,11.0,8.0,4.75,5.0,3.0,2.0
104689,112.27354899999999,12.0,10.0,6.0,6.0,4.0,1.0
60161,58.78870799999999,6.0,2.0,5.0,5.0,5.0,1.0
22195,98.435123,9.0,4.0,4.5,5.0,3.0,1.0
18897,52.294312,7.0,2.0,7.0,7.0,7.0,1.0
142362,62.11305000000001,9.0,6.0,5.333333333333333,5.0,5.0,1.0
143729,80.700934,7.0,10.0,4.8,5.0,3.0,2.0
33843,64.124212,6.0,6.0,5.0,5.0,5.0,2.0
8426,100.657827,7.0,13.0,4.769230769230769,4.0,3.0,2.0
44265,82.38252899999999,10.0,2.0,5.0,5.0,5.0,2.0
137116,112.30054299999999,11.0,8.0,4.875,5.0,3.0,1.0
139478,88.532318,7.0,3.0,5.333333333333333,5.0,5.0,1.0
65989,86.406888,12.0,3.0,6.0,7.0,5.0,1.0
96043,96.264775,8.0,2.0,3.5,3.0,3.0,1.0
