datetimes,space_names,t_out,wind_speed,wind_direction
2017-07-01T00:00:00.000000,Environment,18.049999999999997,4.199999999999999,350.0
2017-07-01T03:00:00.000000,Environment,16.375,3.0,340.0
2017-07-01T06:00:00.000000,Environment,16.05,1.7750000000000001,340.0
2017-07-01T09:00:00.000000,Environment,17.9,1.95,340.0
2017-07-01T12:00:00.000000,Environment,22.45,5.2250000000000005,340.0
2017-07-01T15:00:00.000000,Environment,23.650000000000002,7.049999999999999,340.0
2017-07-01T18:00:00.000000,Environment,19.9,6.225,340.0
2017-07-01T21:00:00.000000,Environment,17.375,5.325000000000001,340.0
2017-07-02T00:00:00.000000,Environment,15.875,4.5249999999999995,347.5
2017-07-02T03:00:00.000000,Environment,14.275,3.6250000000000004,10.0
2017-07-02T06:00:00.000000,Environment,14.2,2.7249999999999996,10.0
2017-07-02T09:00:00.000000,Environment,17.799999999999997,2.55,10.0
2017-07-02T12:00:00.000000,Environment,21.45,4.5249999999999995,350.0
2017-07-02T15:00:00.000000,Environment,22.775,6.125,350.0
2017-07-02T18:00:00.000000,Environment,19.45,5.45,350.0
2017-07-02T21:00:00.000000,Environment,17.299999999999997,4.75,350.0
2017-07-03T00:00:00.000000,Environment,16.099999999999998,4.05,355.0
2017-07-03T03:00:00.000000,Environment,14.9,3.45,10.0
2017-07-03T06:00:00.000000,Environment,15.025,2.7499999999999996,10.0
2017-07-03T09:00:00.000000,Environment,17.35,2.6,10.0
2017-07-03T12:00:00.000000,Environment,20.05,5.8999999999999995,327.5
2017-07-03T15:00:00.000000,Environment,20.925,7.575,330.0
2017-07-03T18:00:00.000000,Environment,18.400000000000002,6.075,330.0
2017-07-03T21:00:00.000000,Environment,16.975,4.675,330.0
