case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
100403,84.505639,9.0,4.0,5.5,6.0,5.0,1.0
100310,87.00736400000001,9.0,6.0,5.0,5.0,4.0,2.0
100359,113.986828,11.0,12.0,5.25,5.0,3.0,2.0
100270,87.19555,9.0,4.0,5.5,6.0,5.0,1.0
100278,88.058271,9.0,4.0,5.5,6.0,5.0,1.0
100347,89.56481819999999,9.0,6.0,5.0,5.0,4.0,2.0
100397,108.326024,11.0,17.0,5.705882352941177,6.0,4.0,2.0
100306,90.41973,9.0,6.0,5.0,5.0,4.0,2.0
100275,105.751687,10.0,10.0,5.3,5.0,4.0,2.0
