space_names,datetimes,mixing_volume,ventilation_volume,temperature,zone_inflow,zone_outflow,zone_dimless_flow,zone_dimless_temp,case_name
BLOCK `BALCONY_5` STOREY 0,2017-06-01T00:00:00.000000,347.9615808287416,72.78365653733817,18.869455992993895,0.2595806972528201,0.3003687569681581,0.011553464439828754,1.0512231750971528,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-01T08:00:00.000000,172.61031359451246,69.32613365762455,17.00067081639123,0.17045749258646642,0.17868693028858978,0.010701314461614304,0.9742504765840247,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-01T12:00:00.000000,432.0821530897616,77.40570320759673,20.722201692027944,0.3279907603299679,0.32420533404359914,0.008219195076414875,0.9660700089523517,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-03T23:00:00.000000,513.2116903219016,54.953293951099944,23.18675436184306,0.3090190772798739,0.4173809883416103,0.010970354086349552,1.0444483946776155,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-04T08:00:00.000000,167.56706551140567,61.988538699475896,20.071701438930848,0.14768214470260868,0.19109689959477094,0.0073399209117841245,0.977914808230492,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-05T10:00:00.000000,156.7305889247399,153.10861423804198,19.88782201725576,0.30930812039332245,0.153598223808422,0.006659723348102595,0.9748932361399884,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-05T13:00:00.000000,863.7786368465486,0.0,19.363976237836972,0.02789267812262886,1.3809965399806297,0.0004672882414942705,1.0191566440966828,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-05T14:00:00.000000,828.8077815561567,0.0,19.43550466912579,0.0,1.3800302422079067,0.0,1.0044188459496532,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-06T12:00:00.000000,274.7030913700055,33.74016586562129,19.26175931297945,0.10913614784222658,0.35238563833561276,0.0021769179874994654,0.9777542798466724,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-06T22:00:00.000000,914.0152369226865,0.0,16.012682470651786,0.04330923712547127,1.4339618584761484,0.0009258080789914372,1.0380993497991433,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-12T10:00:00.000000,404.21605896732876,0.0,18.85175409144013,0.057233020255759125,0.5597504690663664,0.0016177404515800176,0.9882964137059047,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-20T08:00:00.000000,398.26327772418597,3.201371516286204,16.456271117100098,0.07870675590399802,0.5177252891529277,0.005522525402473478,0.9766333007181068,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-20T10:00:00.000000,811.6758417785687,0.0,18.731028634505247,0.14934135413759086,1.0577761758267141,0.006799131251935047,0.9630348912342029,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-20T11:00:00.000000,769.5692374784569,0.0,19.485972807589224,0.14261061649983447,1.0013914474790129,0.004860248157871819,0.9551947454700601,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-22T10:00:00.000000,772.3709772394132,0.0,19.57155530668966,0.18528069435063457,0.9205939093086404,0.011755658237257462,0.9547100149604713,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-27T22:00:00.000000,678.2606604936283,0.0,18.053754437892596,0.1331592952637524,0.8618812824506725,0.0035935513081890758,1.0360834684586855,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-28T07:00:00.000000,0.0,41.96012095158889,16.48487846369287,0.04905376443913843,0.041742277898735344,0.002216373994134546,1.0021202713491106,100403
BLOCK `BALCONY_5` STOREY 0,2017-06-28T14:00:00.000000,57.025084882635014,763.5138744305048,22.584316762408925,1.304467923884411,0.031689828211899945,0.030509694555955997,0.9916275197545081,100403
BLOCK `BALCONY_5` STOREY 0,2017-07-13T22:00:00.000000,937.6088907473893,0.0,16.7932720763405,0.028590445439555735,1.501735533588948,0.0008835034473296682,1.0382239305310976,100403
BLOCK `BALCONY_5` STOREY 0,2017-07-13T22:00:00.000000,937.6088907473893,0.0,16.7932720763405,0.028590445439555735,1.501735533588948,0.0008835034473296682,1.0382239305310976,100403
BLOCK `BALCONY_5` STOREY 0,2017-07-13T22:00:00.000000,937.6088907473893,0.0,16.7932720763405,0.028590445439555735,1.501735533588948,0.0008835034473296682,1.0382239305310976,100403
BLOCK `BALCONY_5` STOREY 0,2017-07-13T22:00:00.000000,937.6088907473893,0.0,16.7932720763405,0.028590445439555735,1.501735533588948,0.0008835034473296682,1.0382239305310976,100403
BLOCK `BALCONY_5` STOREY 0,2017-07-13T22:00:00.000000,937.6088907473893,0.0,16.7932720763405,0.028590445439555735,1.501735533588948,0.0008835034473296682,1.0382239305310976,100403
